eposode,density_Residential,density_Office,density_Commercial,density_Facility,density_Greenspace,diversity,proximity_Residential,proximity_Office,proximity_Commercial,proximity_Facility,proximity_Greenspace,global_reward,prosocial
0,0.0027176668,0.00025124114,0.00029968246,0.00038211254,0.00061120157,0.76298857,0.00010076923,1.1495485e-05,2.0485145e-06,4.9733717e-06,6.485083e-06,0.890273928642273,39642.80388888889
1,0.0030220777,0.00023656216,0.0003759728,0.0003679808,0.0007938392,0.795331,6.918283e-05,1.1841872e-05,2.8642157e-06,4.9075097e-06,6.9184634e-06,0.9284020662307739,38005.76722222221
2,0.002793625,0.00027361614,0.00051291514,0.00040563548,0.000557385,0.7866309,8.9203815e-05,1.0753923e-05,2.6674609e-06,4.7930002e-06,6.6297116e-06,0.9095770120620728,36866.786666666674
3,0.0025336265,0.0002689398,0.00027939386,0.00042018588,0.00076704065,0.78418106,6.991725e-05,1.1465241e-05,3.0987096e-06,4.7756293e-06,6.572797e-06,0.908573567867279,37335.905
4,0.0027318064,0.0002634187,0.00047010215,0.00035315903,0.000736697,0.77588356,7.705163e-05,9.308004e-06,2.4308663e-06,4.683661e-06,7.339564e-06,0.8959367871284485,36351.534999999996
5,0.002915992,0.00026355078,0.00013151324,0.00043518396,0.000838838,0.7911504,6.68987e-05,1.161828e-05,3.10297e-06,4.7302005e-06,6.4873198e-06,0.914096474647522,36889.90055555557
6,0.0029327055,0.00027318098,0.0005645372,0.0002887618,0.0007148124,0.7937083,7.049243e-05,9.365151e-06,3.716397e-06,4.7031017e-06,7.541535e-06,0.9166544079780579,36214.08166666666
7,0.0026601485,0.00024703855,0.0006104209,0.0004900217,0.00071082916,0.7577606,9.848004e-05,1.1534128e-05,1.7190464e-06,4.760498e-06,6.5793674e-06,0.8763673901557922,37782.62055555556
0,0.002948462,0.00023394322,0.00032648645,0.00030723287,0.0007182594,0.83609116,7.614387e-05,7.701151e-06,5.4387897e-06,4.8116044e-06,6.607228e-06,1.000983476638794,35082.46722222222
1,0.0031873959,0.0002621452,0.00023622753,0.0003613846,0.00075252407,0.8489877,6.613276e-05,7.962008e-06,5.7173147e-06,4.5631896e-06,6.4457586e-06,1.0153264999389648,33309.86166666667
2,0.0030595646,0.00025920803,0.00022887952,0.00042661728,0.0006456926,0.8346635,6.90333e-05,7.904362e-06,4.5783077e-06,5.2648606e-06,7.0182327e-06,0.9995558857917786,33946.246666666666
3,0.003245971,0.0002711458,0.00024579084,0.00043726806,0.00057081453,0.8473622,5.526935e-05,9.417178e-06,4.9845007e-06,4.558791e-06,6.5322315e-06,1.01370108127594,33044.04055555555
4,0.0032264432,0.00024155437,0.00027159564,0.0004183057,0.0007790806,0.86823964,5.3077576e-05,8.168287e-06,5.3248873e-06,4.6234013e-06,6.618672e-06,1.040364146232605,32960.09722222222
0,0.002597647,0.00026436028,0.00018156058,0.000551988,0.00070769223,0.79897535,9.613555e-05,8.589758e-06,5.1416914e-06,5.2748296e-06,6.9227344e-06,0.9479570388793945,43373.44055555556
1,0.0030633127,0.0002599479,0.00019942505,0.00039674892,0.0007376712,0.81924504,8.6739834e-05,8.244584e-06,4.852148e-06,4.820626e-06,6.5797217e-06,0.9653339385986328,41695.90166666667
2,0.0029902223,0.00028333155,0.00023802841,0.0003668536,0.00077873864,0.8510194,5.9726954e-05,9.493353e-06,4.734867e-06,5.8204896e-06,6.369861e-06,1.004340410232544,41233.22222222221
3,0.0032199796,0.0002802837,0.00019398605,0.0003578546,0.0008048137,0.8437033,7.667311e-05,7.99289e-06,4.4300664e-06,4.8858037e-06,6.604033e-06,0.9970242977142334,41118.87388888889
4,0.0026877997,0.00027855457,0.00021570867,0.0004976177,0.00075715256,0.8352257,7.905778e-05,8.007328e-06,4.456071e-06,6.1955398e-06,6.3183506e-06,0.9856538772583008,41492.662222222214
5,0.002998959,0.00025754227,0.00022007804,0.00035631334,0.00080959906,0.82187283,9.661223e-05,1.0051072e-05,4.337465e-06,5.6041895e-06,6.2595227e-06,0.9679616689682007,42375.75388888889
6,0.0032229207,0.0002798483,0.00024439656,0.00029437023,0.0007481162,0.8580149,4.8444814e-05,8.000196e-06,5.2632445e-06,5.4740062e-06,6.292617e-06,1.0185680389404297,41083.627222222225
7,0.0031590005,0.0002748103,0.00024811138,0.0003776356,0.0006183943,0.8562138,5.5521203e-05,8.010614e-06,5.017379e-06,5.2303544e-06,6.6299717e-06,1.0153205394744873,41470.21055555555
8,0.0033410576,0.00025040383,0.00026557187,0.00032677694,0.0007799135,0.85752505,6.826255e-05,8.037726e-06,5.1011084e-06,5.6371523e-06,6.3576e-06,1.0195245742797852,41541.78388888889
9,0.0032887124,0.00028217613,0.00023293658,0.00025425595,0.0008157789,0.8466133,6.177086e-05,8.2401475e-06,5.012283e-06,5.412666e-06,6.3454295e-06,0.9999342560768127,41212.56055555556
10,0.0031339256,0.0002814984,0.0002317241,0.00032521895,0.000796777,0.85772216,6.432262e-05,8.715707e-06,5.4457905e-06,5.371007e-06,6.2785366e-06,1.0168288946151733,40924.76499999999
11,0.0032751635,0.00026626865,0.0002688731,0.00027466175,0.00078542595,0.8516391,5.467628e-05,8.244295e-06,4.517103e-06,5.5373016e-06,6.8474874e-06,1.009299397468567,41856.20500000001
12,0.0033029737,0.00026582083,0.00022815312,0.00046205998,0.0005863698,0.85573524,6.434913e-05,9.890411e-06,4.4294998e-06,5.3936237e-06,6.520084e-06,1.0177347660064697,41309.44222222222
13,0.0029754734,0.00026674982,0.00028199065,0.00037632138,0.00068185106,0.8516153,6.051945e-05,7.957073e-06,5.471545e-06,5.5722635e-06,6.26695e-06,1.007829189300537,41678.09722222222
14,0.002919476,0.00026637528,0.00028550744,0.0003751269,0.00072484405,0.84777534,7.195389e-05,9.397666e-06,5.4519332e-06,5.529359e-06,6.5185595e-06,1.0010963678359985,40917.35722222223
15,0.0031064348,0.00026776418,0.00022378369,0.0003525298,0.0008376915,0.8398901,8.177391e-05,7.934207e-06,4.534885e-06,5.5474075e-06,6.201087e-06,0.9961040019989014,42252.75055555556
16,0.0033073945,0.00028142438,0.00023145157,0.00032036516,0.00083385664,0.85944754,6.436085e-05,7.997968e-06,4.9709565e-06,5.409548e-06,6.21938e-06,1.0142149925231934,40331.021666666675
17,0.0032199468,0.00027760607,0.00022703302,0.00033636528,0.0007242602,0.85063124,6.893031e-05,8.572292e-06,5.036101e-06,5.2817295e-06,6.7462934e-06,1.008291482925415,41370.733888888884
18,0.00328625,0.00028470182,0.00020203168,0.00035057552,0.0008303589,0.8568827,6.291604e-05,7.999081e-06,4.839455e-06,5.097893e-06,6.2590416e-06,1.0145429372787476,41270.53555555555
19,0.003063842,0.0002674318,0.000241093,0.00038609118,0.00070123514,0.85161704,7.373537e-05,7.907149e-06,4.9032656e-06,5.625159e-06,6.33529e-06,1.0136165618896484,41865.50888888889
20,0.003193776,0.00029302228,0.00021914578,0.00036516314,0.00075682835,0.8609517,5.2704563e-05,8.983859e-06,5.037196e-06,5.456339e-06,6.2242084e-06,1.0171655416488647,40333.2938888889
21,0.0032062335,0.0002787869,0.00033636237,0.00028464725,0.0006029028,0.8612378,6.929805e-05,8.0081145e-06,4.556019e-06,5.622196e-06,7.1961763e-06,1.0217909812927246,41305.08666666668
22,0.0033352738,0.00027434246,0.00021815546,0.00039150202,0.00083910336,0.8613341,6.146008e-05,7.818546e-06,5.2146556e-06,5.089182e-06,6.207189e-06,1.0204408168792725,40763.78166666666
23,0.0033287662,0.00025534947,0.00024338829,0.0003720338,0.0008092083,0.8531219,5.7414814e-05,8.142258e-06,4.63453e-06,5.1339716e-06,6.7921274e-06,1.0078892707824707,40760.77166666667
24,0.003064605,0.0002524473,0.0002819876,0.00033541705,0.00080830185,0.85265857,6.4895285e-05,8.006237e-06,5.0286967e-06,5.631963e-06,6.612346e-06,1.0117652416229248,41234.71166666668
25,0.0032630023,0.00027751457,0.00023076416,0.00036010792,0.0006897952,0.8546814,6.465875e-05,7.96335e-06,5.0159306e-06,5.562873e-06,6.579431e-06,1.0123416185379028,41126.395000000004
26,0.0033294945,0.00028889513,0.00021079938,0.00034831563,0.0008376915,0.8587087,6.826903e-05,8.191911e-06,5.215376e-06,5.515725e-06,6.201087e-06,1.0134761333465576,40581.926666666666
27,0.0032407949,0.00028235308,0.0002450008,0.00036497958,0.0006318492,0.85683703,6.953164e-05,8.101356e-06,5.08151e-06,5.464553e-06,6.2520244e-06,1.0159437656402588,41056.52166666668
28,0.0033275578,0.00026810347,0.00022888057,0.00039106145,0.00083908514,0.86204356,6.812604e-05,8.241603e-06,5.6122885e-06,5.4475777e-06,6.4457936e-06,1.0182573795318604,40532.08222222223
29,0.0033799775,0.00028122266,0.00022985769,0.00037501316,0.0008376915,0.87289095,4.777964e-05,8.017637e-06,5.2272258e-06,5.572024e-06,6.201087e-06,1.0348905324935913,40376.16722222223
